SPECIES,Tons,Ton.Value
AB,2.25,11
BF,2.1,3
BT,2.15,13
EH,2.4,4
HM,2.7,11
HW,2.7,11
LC,2.4,0
MW,2.3,11
NC,1.7,0
PB,2.25,11
QA,2.15,13
RM,2.25,11
RO,2.7,11
RP,2.15,0
SW,2.3,0
WA,2.25,11
WO,2.7,11
WP,2.15,2
WS,2.1,3
YB,2.7,11
HH,2.7,11
WIL,2.7,0
GB,2.25,0
RS,2.1,3
NS,2.1,3
BS,2.1,3
BC,2.7,11
UNK,2.3,0
