plot.id,treatment
MC4,mid.conifer
MC3,mid.conifer
MC2,mid.conifer
MC1,mid.conifer
LC1,low.conifer
LC2,low.conifer
LC3,low.conifer
LC4,low.conifer
HC1,high.conifer
HC2,high.conifer
HC3,high.conifer
HC4,high.conifer
C1,control
C2,control
C3,control
C4,control
